"","","Rank","Rank","University Name","Entry Standards 
                             
                             
                                Entry Standards 
                                The average UCAS tariff score of new students entering the University. These tables use the old UCAS tariff. 
                                Read more","Student Satisfaction 
                             
                             
                                Student Satisfaction 
                                A guide to how satisfied students are with the quality of teaching they receive. 
                                    Maximum score: 5.00 
                                Read more","Research Quality 
                             
                             
                                Research Quality 
                                A measure of the quality of the research undertaken in the University. 
                                    Maximum score: 4.00 
                                Read more","Research Intensity 
                             
                             
                                Research Intensity 
                                A measure of the proportion of staff involved in high-quality research in the University. 
                                    Maximum score: 1.00 
                                Read more","Graduate Prospects 
                             
                             
                                Graduate Prospects 
                                A guide to the employability of graduates on completion of their courses at the University. 
                                    Maximum score: 100.0 
                                Read more","Student-Staff Ratio 
                             
                             
                                Student-Staff Ratio 
                                The average staffing levels at the University. 
                                Read more","Academic Services Spend 
                             
                             
                                Academic Services Spend 
                                A guide to how much the University spends on supporting services such as libraries and IT. 
                                Read more","Facilities Spend 
                             
                             
                                Facilities Spend 
                                A guide to how much the University spends on supporting facilities such as the careers service, health and counselling services and sport facilities. 
                                Read more","Good Honours 
                             
                             
                                Good Honours 
                                The percentage of graduates achieving a first or upper second class honours degree – the class of degree achieved can impact a graduate’s employment prospects. 
                                    Maximum score: 100.0 
                                Read more","Degree Completion 
                             
                             
                                Degree Completion 
                                The proportion of students expected to successfully complete their studies and gain a degree from the University. 
                                    Maximum score: 100.0 
                                Read more","Overall Score 
                             
                             
                                Overall Score 
                                The total score calculated by our independent and trusted methodology, comprising entry standards, student satisfaction, research assessment (quality and intensity), graduate prospects, student–staff ratio, academic services spend, facilities spend, good honours, and degree completion. 
                                    Maximum score: 1000 
                                Read more","Next Steps"
"225","","112th","6","Canterbury Christ Church","270","4.02","2.38","0.23","57.6","16.0","1,001","377","66.8","80.8","475","Profile
                                    Courses"
"226","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"227","","113th","0","Buckinghamshire New","256","4.07","2.19","0.09","57.1","17.6","726","1,342","55.3","79.7","460","Profile
                                    Courses"
"228","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"229","","114th","0","Leeds Beckett","288","3.98","2.16","0.24","58.3","20.7","932","499","65.3","78.7","446","Profile
                                    Courses"
"230","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"231","","115th","7","Southampton Solent","275","4.02","1.63","0.07","54.1","16.9","1,051","621","67.7","78.5","443","Profile
                                    Courses"
"232","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"233","","115th","4","London South Bank","254","3.99","2.52","0.41","67.4","17.2","1,450","437","60.4","73.1","443","Profile
                                    Courses"
"234","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"235","","117th","3","Newman","298","4.15","2.13","0.20","52.6","16.9","1,207","377","59.1","79.4","442","Profile
                                    Courses"
"236","","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    
    Not included in the table in some years

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
